Year,Country of origin,Country of origin (ISO),CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1951,Unknown ,UNK,Australia,AUS,180000
1951,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,208000
1951,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14200
1951,Unknown ,UNK,United States of America,USA,350000
1952,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,200000
1952,Unknown ,UNK,Netherlands (Kingdom of the),NLD,14100
1952,Unknown ,UNK,United States of America,USA,500000
1953,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,192000
1953,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13900
1953,Unknown ,UNK,United States of America,USA,500000
1954,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,182000
1954,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12400
1954,Unknown ,UNK,United States of America,USA,500000
1955,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,175000
1955,Unknown ,UNK,Netherlands (Kingdom of the),NLD,11400
1955,Unknown ,UNK,United States of America,USA,500000
1956,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,182000
1956,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13600
1956,Unknown ,UNK,United States of America,USA,500000
1957,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,179000
1957,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13500
1957,Unknown ,UNK,United States of America,USA,500000
1958,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,175000
1958,Unknown ,UNK,Netherlands (Kingdom of the),NLD,13000
1958,Unknown ,UNK,United States of America,USA,500000
1959,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,170000
1959,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12800
1959,Unknown ,UNK,United States of America,USA,500000
1960,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,167000
1960,Unknown ,UNK,Netherlands (Kingdom of the),NLD,12000
1960,Unknown ,UNK,United States of America,USA,500000
1961,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,164000
1961,Unknown ,UNK,Netherlands (Kingdom of the),NLD,10000
1961,Unknown ,UNK,United States of America,USA,500000
1962,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,160000
1962,Unknown ,UNK,Netherlands (Kingdom of the),NLD,10000
1962,Unknown ,UNK,United States of America,USA,500000
1963,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,157000
1963,Unknown ,UNK,Netherlands (Kingdom of the),NLD,9500
1963,Unknown ,UNK,United States of America,USA,500000
1964,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,160000
1964,Unknown ,UNK,Netherlands (Kingdom of the),NLD,9500
1964,Unknown ,UNK,United States of America,USA,500000
1965,Unknown ,UNK,Australia,AUS,40000
1965,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,170000
1965,Unknown ,UNK,Netherlands (Kingdom of the),NLD,9000
1965,Unknown ,UNK,United States of America,USA,510000
1966,Unknown ,UNK,Australia,AUS,40000
1966,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,167000
1966,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8500
1966,Unknown ,UNK,United States of America,USA,500000
1967,Unknown ,UNK,Australia,AUS,44000
1967,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,164000
1967,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1967,Unknown ,UNK,United States of America,USA,480000
1968,Unknown ,UNK,Australia,AUS,43000
1968,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,161000
1968,Unknown ,UNK,Netherlands (Kingdom of the),NLD,8000
1968,Unknown ,UNK,United States of America,USA,498000
1969,Unknown ,UNK,Australia,AUS,42000
1969,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,162000
