Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum
2022,Aruba,ABW,United States of America,USA,0,7
2022,Afghanistan,AFG,Albania,ALB,14,0
2022,Afghanistan,AFG,Egypt,EGY,47,334
2022,Afghanistan,AFG,Argentina,ARG,11,11
2022,Afghanistan,AFG,Armenia,ARM,9,0
2022,Afghanistan,AFG,Australia,AUS,7787,3503
2022,Afghanistan,AFG,Austria,AUT,45282,7419
2022,Afghanistan,AFG,Azerbaijan,AZE,1161,15
2022,Afghanistan,AFG,Belgium,BEL,6238,9700
2022,Afghanistan,AFG,Bangladesh,BGD,5,0
2022,Afghanistan,AFG,Belarus,BLR,118,34
2022,Afghanistan,AFG,Brazil,BRA,267,775
2022,Afghanistan,AFG,Bosnia and Herzegovina,BIH,5,5
2022,Afghanistan,AFG,Bulgaria,BGR,319,3250
2022,Afghanistan,AFG,Canada,CAN,987,1029
2022,Afghanistan,AFG,China,CHN,31,36
2022,Afghanistan,AFG,Chile,CHL,19,227
2022,Afghanistan,AFG,Colombia,COL,9,0
2022,Afghanistan,AFG,Cuba,CUB,12,0
2022,Afghanistan,AFG,Cyprus,CYP,43,1671
2022,Afghanistan,AFG,Czechia,CZE,187,42
2022,Afghanistan,AFG,Denmark,DNK,1625,478
2022,Afghanistan,AFG,Dominican Rep.,DOM,0,8
2022,Afghanistan,AFG,Ecuador,ECU,147,0
2022,Afghanistan,AFG,Estonia,EST,33,0
2022,Afghanistan,AFG,Fiji,FJI,5,8
2022,Afghanistan,AFG,Finland,FIN,3855,410
2022,Afghanistan,AFG,France,FRA,63506,11130
2022,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,11265,13056
2022,Afghanistan,AFG,Georgia,GEO,78,5
2022,Afghanistan,AFG,Germany,DEU,180810,34867
2022,Afghanistan,AFG,Ghana,GHA,10,5
2022,Afghanistan,AFG,Greece,GRC,35467,2779
2022,Afghanistan,AFG,Guyana,GUY,0,5
2022,Afghanistan,AFG,"China, Hong Kong SAR",HKG,11,0
2022,Afghanistan,AFG,Croatia,HRV,99,306
2022,Afghanistan,AFG,Hungary,HUN,1452,5
2022,Afghanistan,AFG,Iceland,ISL,227,9
2022,Afghanistan,AFG,India,IND,9858,5181
2022,Afghanistan,AFG,Indonesia,IDN,5872,1119
2022,Afghanistan,AFG,Ireland,IRL,1324,746
2022,Afghanistan,AFG,Iran (Islamic Rep. of),IRN,3413249,0
2022,Afghanistan,AFG,Iraq,IRQ,14,635
2022,Afghanistan,AFG,Italy,ITA,18367,1918
2022,Afghanistan,AFG,Jordan,JOR,8,8
2022,Afghanistan,AFG,Japan,JPN,570,0
2022,Afghanistan,AFG,Kazakhstan,KAZ,285,235
2022,Afghanistan,AFG,Kenya,KEN,18,40
2022,Afghanistan,AFG,Kyrgyzstan,KGZ,189,324
2022,Afghanistan,AFG,Rep. of Korea,KOR,50,90
2022,Afghanistan,AFG,Kuwait,KWT,0,17
