Year,CountryOrigin,CountryOriginISO,CountryAsylum,CountryAsylumISO,Female0-4,Female5-11,Female12-17,Female18-59,Female60,FemaleOther,FemaleTotal,Male0-4,Male0-4,Male5-11,Male12-17,Male18-59,Male60,MaleOther,Total
2022,Venezuela (Bolivarian Republic of),VEN,Aruba,ABW,0,0,0,0,0,9000,9000,0,0,0,0,0,8000,8000,17000
2022,Bangladesh,BGD,Afghanistan,AFG,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2022,Iran (Islamic Rep. of),IRN,Afghanistan,AFG,0,13,9,12,0,0,34,0,12,0,10,0,0,22,56
2022,Pakistan,PAK,Afghanistan,AFG,5477,6071,3564,11477,1161,0,27750,4931,6218,3175,8751,1485,0,24560,52310
2022,Tajikistan,TJK,Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2022,Afghanistan,AFG,Albania,ALB,0,0,0,7,0,0,7,0,7,0,0,0,0,7,14
2022,Egypt,EGY,Albania,ALB,0,8,0,0,0,0,8,0,0,0,0,0,0,0,8
2022,China,CHN,Albania,ALB,0,5,0,0,0,0,5,0,9,0,0,0,0,9,14
2022,Palestinian,PSE,Albania,ALB,0,0,8,0,0,0,8,0,0,0,0,0,0,0,8
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,Albania,ALB,0,5,5,6,5,0,21,5,0,5,16,5,0,31,52
2022,Syrian Arab Rep.,SYR,Albania,ALB,0,0,5,5,0,0,10,0,0,5,8,0,0,13,23
2022,Tunisia,TUN,Albania,ALB,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2022,Ukraine,UKR,Albania,ALB,0,0,0,0,0,0,0,5,0,0,0,0,0,5,2547
2022,Uzbekistan,UZB,Albania,ALB,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5
2022,Venezuela (Bolivarian Republic of),VEN,Albania,ALB,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2022,Egypt,EGY,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Benin,BEN,Algeria,DZA,12,5,5,23,0,0,45,9,0,7,75,0,0,91,136
2022,Burkina Faso,BFA,Algeria,DZA,5,7,0,8,0,0,20,0,0,15,82,0,0,97,117
2022,Central African Rep.,CAF,Algeria,DZA,5,0,0,24,0,0,29,9,0,26,133,0,0,168,197
2022,Chad,TCD,Algeria,DZA,0,0,0,5,0,0,5,0,0,9,33,0,0,42,47
2022,Cameroon,CMR,Algeria,DZA,53,27,21,284,0,0,385,61,26,35,221,0,0,343,728
2022,Congo,COG,Algeria,DZA,0,0,5,0,0,0,5,0,0,0,5,0,0,5,10
2022,Dem. Rep. of the Congo,COD,Algeria,DZA,12,15,15,63,0,0,105,16,16,10,56,0,0,98,203
2022,Eritrea,ERI,Algeria,DZA,0,0,0,0,0,0,0,0,0,5,5,0,0,10,10
2022,Ethiopia,ETH,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,Gambia,GMB,Algeria,DZA,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2022,Palestinian,PSE,Algeria,DZA,5,12,13,52,7,0,89,11,17,12,106,8,0,154,243
2022,Ghana,GHA,Algeria,DZA,0,0,0,5,0,0,5,0,0,0,8,0,0,8,13
2022,Guinea-Bissau,GNB,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2022,Guinea,GIN,Algeria,DZA,48,10,29,133,0,0,220,53,7,46,337,0,0,443,663
2022,Cote d'Ivoire,CIV,Algeria,DZA,20,5,25,94,0,0,144,11,5,19,147,0,0,182,326
2022,India,IND,Algeria,DZA,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2022,Iraq,IRQ,Algeria,DZA,0,6,0,0,0,0,6,0,0,0,10,5,0,15,21
2022,Jordan,JOR,Algeria,DZA,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2022,Liberia,LBR,Algeria,DZA,11,0,0,22,0,0,33,8,0,0,73,0,0,81,114
2022,Libya,LBY,Algeria,DZA,0,0,6,5,0,0,11,0,7,5,14,0,0,26,37
2022,Lebanon,LBN,Algeria,DZA,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9
2022,Mali,MLI,Algeria,DZA,43,27,24,116,0,0,210,47,26,26,587,0,0,686,896
2022,Niger,NER,Algeria,DZA,8,5,0,11,0,0,24,0,14,0,167,0,0,181,205
2022,Nigeria,NGA,Algeria,DZA,28,23,15,141,0,0,207,33,17,10,182,0,0,242,449
2022,Senegal,SEN,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9
2022,Sierra Leone,SLE,Algeria,DZA,5,0,0,9,0,0,14,0,0,6,34,0,0,40,54
2022,Sudan,SDN,Algeria,DZA,0,0,0,10,0,0,10,0,0,15,88,0,0,103,113
2022,Syrian Arab Rep.,SYR,Algeria,DZA,350,727,390,1508,70,0,3045,413,807,456,3001,81,0,4758,7803
2022,Togo,TGO,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19
2022,Türkiye,TUR,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2022,Western Sahara,ESH,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
2022,Yemen,YEM,Algeria,DZA,5,7,7,37,5,0,61,0,13,9,205,5,0,232,293
2022,Burundi,BDI,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
2022,Central African Rep.,CAF,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2022,Chad,TCD,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968
2022,Congo,COG,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
2022,Dem. Rep. of the Congo,COD,Angola,AGO,719,1181,725,1991,103,0,4719,737,1186,668,1782,166,0,4539,23141
2022,Eritrea,ERI,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874
2022,Ethiopia,ETH,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2022,Guinea-Bissau,GNB,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
2022,Guinea,GIN,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9272
2022,Cote d'Ivoire,CIV,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6357
2022,Liberia,LBR,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639
2022,Mauritania,MRT,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5725
2022,Rwanda,RWA,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633
2022,Sierra Leone,SLE,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909
2022,Somalia,SOM,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
2022,Sudan,SDN,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949
2022,Syrian Arab Rep.,SYR,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,United Rep. of Tanzania,TZA,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2022,Türkiye,TUR,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2022,Uganda,UGA,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2022,Western Sahara,ESH,Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612
2022,Afghanistan,AFG,Egypt,EGY,15,32,0,52,0,0,99,10,17,5,250,0,0,282,381
2022,Burundi,BDI,Egypt,EGY,0,5,0,54,0,0,59,0,0,5,60,0,0,65,124
2022,Bangladesh,BGD,Egypt,EGY,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2022,Central African Rep.,CAF,Egypt,EGY,0,0,0,5,0,0,5,0,0,5,68,0,0,73,78
2022,Chad,TCD,Egypt,EGY,0,10,21,16,0,0,47,0,0,28,44,0,0,72,119
2022,China,CHN,Egypt,EGY,6,9,0,16,0,0,31,5,6,7,28,0,0,46,77
2022,Cameroon,CMR,Egypt,EGY,0,0,0,19,0,0,19,5,0,5,25,0,0,35,54
2022,Congo,COG,Egypt,EGY,0,0,0,6,0,0,6,0,0,0,25,0,0,25,31
2022,Dem. Rep. of the Congo,COD,Egypt,EGY,5,0,8,14,0,0,27,0,5,0,32,0,0,37,64
2022,Djibouti,DJI,Egypt,EGY,0,6,0,0,0,0,6,0,0,8,33,0,0,41,47
2022,Eritrea,ERI,Egypt,EGY,702,1401,1861,7202,340,0,11506,816,1650,2037,6155,243,0,10901,22407
2022,Ethiopia,ETH,Egypt,EGY,921,353,278,7877,13,0,9442,916,375,203,4868,20,0,6382,15824
2022,Palestinian,PSE,Egypt,EGY,0,0,0,5,0,35001,35006,0,0,8,5,0,35001,35014,70020
2022,Guinea,GIN,Egypt,EGY,5,0,0,21,0,0,26,5,0,0,35,0,0,40,66
2022,Cote d'Ivoire,CIV,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2022,India,IND,Egypt,EGY,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2022,Iraq,IRQ,Egypt,EGY,43,249,351,1823,331,0,2797,39,235,359,1878,367,0,2878,5675
2022,Jordan,JOR,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18
2022,Kenya,KEN,Egypt,EGY,7,0,0,6,0,0,13,0,5,0,0,0,0,5,18
